Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_bt_A_1.85.0, -1, 838.108337402343750000, 466.396667480468750000, 1.910827636718750000, 38.200439453125000000, 32076.4, 62.2, 46508
Rust, NPB_bt_A_1.85.0, -1, 837.827026367187500000, 470.178283691406250000, 1.842590332031250000, 37.799987792968750000, 31621, 63.2, 46508
Rust, NPB_bt_A_1.85.0, -1, 833.001525878906250000, 460.244506835937500000, 1.919738769531250000, 38.326843261718750000, 32164, 62.8, 46508
Rust, NPB_bt_A_1.85.0, -1, 860.767517089843750000, 492.619323730468750000, 2.067749023437500000, 38.089416503906250000, 31739.5, 58.2, 46508
Rust, NPB_bt_A_1.85.0, -1, 844.735412597656250000, 473.491821289062500000, 2.011047363281250000, 38.289062500000000000, 32022.2, 63.3, 46508
Rust, NPB_bt_A_1.85.0, -1, 838.009704589843750000, 465.326721191406250000, 1.870361328125000000, 38.278808593750000000, 32151.3, 64.2, 46508
Rust, NPB_bt_A_1.85.0, -1, 835.903564453125000000, 463.267639160156250000, 1.968383789062500000, 38.339294433593750000, 32162.4, 64.0, 46508
Rust, NPB_bt_A_1.85.0, -1, 832.685852050781250000, 458.740905761718750000, 1.896484375000000000, 38.390319824218750000, 32286.4, 63.0, 46508
Rust, NPB_bt_A_1.85.0, -1, 847.692993164062500000, 479.772521972656250000, 1.948669433593750000, 37.912292480468750000, 31706.3, 63.5, 46508
Rust, NPB_bt_A_1.85.0, -1, 829.388244628906250000, 455.632568359375000000, 1.872558593750000000, 38.365356445312500000, 32269.5, 65.0, 46508
Rust, NPB_bt_A_1.85.0, -1, 842.433410644531250000, 465.611083984375000000, 1.974304199218750000, 38.669738769531250000, 32505.8, 63.5, 46508
Rust, NPB_bt_A_1.85.0, -1, 831.374145507812500000, 458.968627929687500000, 1.897888183593750000, 38.185974121093750000, 32081, 64.3, 46508
Rust, NPB_bt_A_1.85.0, -1, 836.728271484375000000, 462.677368164062500000, 1.982482910156250000, 38.470642089843750000, 32280.2, 63.8, 46508
Rust, NPB_bt_A_1.85.0, -1, 843.944152832031250000, 474.486328125000000000, 1.966430664062500000, 37.985656738281250000, 31830.5, 63.5, 46508
Rust, NPB_bt_A_1.85.0, -1, 828.467895507812500000, 449.552124023437500000, 1.973754882812500000, 38.721984863281250000, 32637, 63.8, 46508
Rust, NPB_bt_A_1.85.0, -1, 833.006652832031250000, 453.012695312500000000, 1.831359863281250000, 38.863342285156250000, 32740.5, 63.2, 46508
Rust, NPB_bt_A_1.85.0, -1, 841.219177246093750000, 464.900146484375000000, 1.946594238281250000, 38.589172363281250000, 32465.4, 62.5, 46508
Rust, NPB_bt_A_1.85.0, -1, 842.001098632812500000, 472.576232910156250000, 1.934692382812500000, 37.967224121093750000, 31838.6, 64.5, 46508
Rust, NPB_bt_A_1.85.0, -1, 835.868530273437500000, 461.110595703125000000, 1.992736816406250000, 38.488281250000000000, 32341.8, 64.8, 46508
Rust, NPB_bt_A_1.85.0, -1, 913.200866699218750000, 529.317687988281250000, 1.837890625000000000, 41.106506347656250000, 33038, 63.8, 46508
