Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_bt_A_stable, -1, 806.034362792968750000, 441.013916015625000000, 1.992309570312500000, 37.641174316406250000, 31369.7, 63.7, 46596
Rust, NPB_bt_A_stable, -1, 813.418395996093750000, 447.386779785156250000, 1.923339843750000000, 37.798217773437500000, 31580.4, 64.2, 46596
Rust, NPB_bt_A_stable, -1, 818.339477539062500000, 448.804565429687500000, 2.065307617187500000, 38.106811523437500000, 31851.9, 64.3, 46596
Rust, NPB_bt_A_stable, -1, 815.539978027343750000, 447.755249023437500000, 1.841674804687500000, 37.899780273437500000, 31719, 65.3, 46596
Rust, NPB_bt_A_stable, -1, 812.718566894531250000, 445.745239257812500000, 2.034667968750000000, 37.950927734375000000, 31647.8, 64.7, 46596
Rust, NPB_bt_A_stable, -1, 815.487548828125000000, 447.663574218750000000, 1.891723632812500000, 37.905090332031250000, 31720.7, 63.7, 46596
Rust, NPB_bt_A_stable, -1, 814.499694824218750000, 448.623107910156250000, 2.057434082031250000, 37.785034179687500000, 31552.2, 64.3, 46596
Rust, NPB_bt_A_stable, -1, 810.110351562500000000, 446.119445800781250000, 1.961730957031250000, 37.609436035156250000, 31358.8, 64.3, 46596
Rust, NPB_bt_A_stable, -1, 816.069152832031250000, 453.501037597656250000, 2.021118164062500000, 37.502868652343750000, 31236.9, 64.2, 46596
Rust, NPB_bt_A_stable, -1, 812.624694824218750000, 444.852050781250000000, 1.962768554687500000, 37.882385253906250000, 31705.7, 65.5, 46596
Rust, NPB_bt_A_stable, -1, 812.901306152343750000, 448.504333496093750000, 2.010375976562500000, 37.665954589843750000, 31418.5, 64.7, 46596
Rust, NPB_bt_A_stable, -1, 810.039062500000000000, 442.944458007812500000, 1.943237304687500000, 37.887573242187500000, 31667.9, 64.5, 46596
Rust, NPB_bt_A_stable, -1, 812.338073730468750000, 444.329040527343750000, 1.995361328125000000, 38.000244140625000000, 31745.3, 64.5, 46596
Rust, NPB_bt_A_stable, -1, 814.625427246093750000, 448.636718750000000000, 1.960266113281250000, 37.769714355468750000, 31563.1, 64.2, 46596
Rust, NPB_bt_A_stable, -1, 810.891967773437500000, 447.240112304687500000, 1.986267089843750000, 37.575561523437500000, 31325.1, 64.0, 46596
Rust, NPB_bt_A_stable, -1, 811.137878417968750000, 446.383239746093750000, 2.060119628906250000, 37.647094726562500000, 31446.3, 64.0, 46596
Rust, NPB_bt_A_stable, -1, 815.756042480468750000, 451.422241210937500000, 2.032531738281250000, 37.671508789062500000, 31408.2, 63.7, 46596
Rust, NPB_bt_A_stable, -1, 829.630004882812500000, 463.750915527343750000, 1.913146972656250000, 37.814941406250000000, 31553.6, 59.0, 46596
Rust, NPB_bt_A_stable, -1, 818.280883789062500000, 451.236022949218750000, 2.002014160156250000, 37.903686523437500000, 31649.7, 64.2, 46596
Rust, NPB_bt_A_stable, -1, 815.861938476562500000, 452.285949707031250000, 1.994323730468750000, 37.589233398437500000, 31345, 65.2, 46596
