Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_is_A_1.85.0, -1, 28.770324707031250000, 15.687255859375000000, 0.419555664062500000, 1.303894042968750000, 1098.3, 62.0, 69568
Rust, NPB_is_A_1.85.0, -1, 30.004577636718750000, 16.825927734375000000, 0.428100585937500000, 1.334838867187500000, 1104.75, 62.2, 69568
Rust, NPB_is_A_1.85.0, -1, 28.637512207031250000, 15.864196777343750000, 0.426147460937500000, 1.284362792968750000, 1070.09, 64.8, 69568
Rust, NPB_is_A_1.85.0, -1, 28.836242675781250000, 15.652404785156250000, 0.422912597656250000, 1.314270019531250000, 1104.84, 63.0, 69568
Rust, NPB_is_A_1.85.0, -1, 28.824401855468750000, 15.961425781250000000, 0.416259765625000000, 1.294677734375000000, 1079.76, 62.8, 69568
Rust, NPB_is_A_1.85.0, -1, 29.094482421875000000, 15.895446777343750000, 0.412414550781250000, 1.320495605468750000, 1110.83, 62.7, 69568
Rust, NPB_is_A_1.85.0, -1, 28.820190429687500000, 15.755371093750000000, 0.370788574218750000, 1.298156738281250000, 1101.42, 62.5, 69568
Rust, NPB_is_A_1.85.0, -1, 28.806396484375000000, 15.910583496093750000, 0.443420410156250000, 1.300170898437500000, 1077.97, 62.3, 69568
Rust, NPB_is_A_1.85.0, -1, 28.679687500000000000, 15.813049316406250000, 0.442443847656250000, 1.292602539062500000, 1076.34, 61.8, 69568
Rust, NPB_is_A_1.85.0, -1, 29.031616210937500000, 15.860351562500000000, 0.457885742187500000, 1.320922851562500000, 1102.79, 62.3, 69568
Rust, NPB_is_A_1.85.0, -1, 28.740661621093750000, 15.937927246093750000, 0.423339843750000000, 1.277282714843750000, 1072.77, 62.5, 69568
Rust, NPB_is_A_1.85.0, -1, 28.578002929687500000, 15.759521484375000000, 0.430969238281250000, 1.286499023437500000, 1071.67, 62.5, 69568
Rust, NPB_is_A_1.85.0, -1, 29.096862792968750000, 16.207946777343750000, 0.457458496093750000, 1.304382324218750000, 1078.15, 62.2, 69568
Rust, NPB_is_A_1.85.0, -1, 28.911865234375000000, 15.793212890625000000, 0.392211914062500000, 1.305114746093750000, 1104.18, 62.5, 69568
Rust, NPB_is_A_1.85.0, -1, 28.634460449218750000, 15.875183105468750000, 0.379333496093750000, 1.275146484375000000, 1072.01, 62.2, 69568
Rust, NPB_is_A_1.85.0, -1, 28.999267578125000000, 16.133911132812500000, 0.460021972656250000, 1.298095703125000000, 1076.07, 62.8, 69568
Rust, NPB_is_A_1.85.0, -1, 28.816040039062500000, 15.965820312500000000, 0.441467285156250000, 1.281188964843750000, 1076.69, 63.0, 69568
Rust, NPB_is_A_1.85.0, -1, 28.725341796875000000, 15.952636718750000000, 0.399291992187500000, 1.273803710937500000, 1072.08, 61.8, 69568
Rust, NPB_is_A_1.85.0, -1, 28.824218750000000000, 16.005065917968750000, 0.420410156250000000, 1.283752441406250000, 1076.7, 62.7, 69568
Rust, NPB_is_A_1.85.0, -1, 28.868591308593750000, 16.065673828125000000, 0.429199218750000000, 1.290710449218750000, 1073.87, 62.3, 69568
