Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_is_A_stable, -1, 28.735534667968750000, 15.990722656250000000, 0.426269531250000000, 1.270446777343750000, 1069.3, 65.3, 69560
Rust, NPB_is_A_stable, -1, 28.697631835937500000, 15.940734863281250000, 0.447753906250000000, 1.264953613281250000, 1067.81, 65.2, 69560
Rust, NPB_is_A_stable, -1, 28.648071289062500000, 15.864929199218750000, 0.465576171875000000, 1.276123046875000000, 1067.89, 66.0, 69560
Rust, NPB_is_A_stable, -1, 28.815429687500000000, 15.977905273437500000, 0.483886718750000000, 1.288452148437500000, 1069.32, 65.2, 69560
Rust, NPB_is_A_stable, -1, 28.719421386718750000, 15.904235839843750000, 0.467224121093750000, 1.270141601562500000, 1069.62, 64.8, 69560
Rust, NPB_is_A_stable, -1, 28.611938476562500000, 15.750854492187500000, 0.489501953125000000, 1.287414550781250000, 1070.13, 65.7, 69560
Rust, NPB_is_A_stable, -1, 28.683288574218750000, 15.868774414062500000, 0.454101562500000000, 1.283691406250000000, 1069.75, 64.8, 69560
Rust, NPB_is_A_stable, -1, 28.939086914062500000, 16.053222656250000000, 0.479919433593750000, 1.293151855468750000, 1074.45, 65.3, 69560
Rust, NPB_is_A_stable, -1, 29.066162109375000000, 16.152221679687500000, 0.506286621093750000, 1.302429199218750000, 1074.46, 65.0, 69560
Rust, NPB_is_A_stable, -1, 28.819763183593750000, 15.932983398437500000, 0.500122070312500000, 1.299987792968750000, 1074.25, 65.7, 69560
Rust, NPB_is_A_stable, -1, 28.853881835937500000, 16.001037597656250000, 0.501342773437500000, 1.292846679687500000, 1069.67, 65.0, 69560
Rust, NPB_is_A_stable, -1, 28.891479492187500000, 15.983154296875000000, 0.497192382812500000, 1.302185058593750000, 1075.23, 65.2, 69560
Rust, NPB_is_A_stable, -1, 28.888854980468750000, 16.043151855468750000, 0.497558593750000000, 1.295471191406250000, 1069.54, 65.2, 69560
Rust, NPB_is_A_stable, -1, 28.827087402343750000, 15.954895019531250000, 0.474487304687500000, 1.296020507812500000, 1071.35, 65.2, 69560
Rust, NPB_is_A_stable, -1, 29.230834960937500000, 16.253601074218750000, 0.517822265625000000, 1.310241699218750000, 1079.57, 64.5, 69560
Rust, NPB_is_A_stable, -1, 28.775634765625000000, 15.592468261718750000, 0.455383300781250000, 1.320373535156250000, 1103.51, 65.3, 69560
Rust, NPB_is_A_stable, -1, 28.900329589843750000, 16.043640136718750000, 0.515380859375000000, 1.296936035156250000, 1070.53, 65.2, 69560
Rust, NPB_is_A_stable, -1, 28.820800781250000000, 15.919250488281250000, 0.483337402343750000, 1.296630859375000000, 1073.02, 65.7, 69560
Rust, NPB_is_A_stable, -1, 28.930908203125000000, 15.996032714843750000, 0.490051269531250000, 1.307006835937500000, 1077.51, 64.5, 69560
Rust, NPB_is_A_stable, -1, 28.842895507812500000, 15.971252441406250000, 0.519165039062500000, 1.298095703125000000, 1071.05, 65.0, 69560
