Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_lu_A_1.85.0, -1, 591.035827636718750000, 332.680114746093750000, 1.832336425781250000, 29.773986816406250000, 22067.1, 66.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 590.970397949218750000, 334.247070312500000000, 1.853149414062500000, 29.566345214843750000, 21979.2, 66.3, 41520
Rust, NPB_lu_A_1.85.0, -1, 585.229125976562500000, 323.195861816406250000, 1.797851562500000000, 30.165405273437500000, 22439.1, 60.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 590.466186523437500000, 332.326477050781250000, 1.789916992187500000, 29.633605957031250000, 22058.7, 65.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 594.428710937500000000, 336.460754394531250000, 1.857299804687500000, 29.611206054687500000, 22107.4, 66.0, 41520
Rust, NPB_lu_A_1.85.0, -1, 593.332458496093750000, 337.070190429687500000, 1.802001953125000000, 29.555786132812500000, 21883.3, 60.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 585.104309082031250000, 326.374328613281250000, 1.752685546875000000, 29.657592773437500000, 22117.4, 66.0, 41520
Rust, NPB_lu_A_1.85.0, -1, 582.294433593750000000, 320.437561035156250000, 1.781555175781250000, 29.955749511718750000, 22430.7, 66.2, 41520
Rust, NPB_lu_A_1.85.0, -1, 598.709655761718750000, 341.397216796875000000, 1.915832519531250000, 29.637634277343750000, 22042.5, 65.5, 41520
Rust, NPB_lu_A_1.85.0, -1, 593.929809570312500000, 336.437011718750000000, 1.900878906250000000, 29.586730957031250000, 22041, 66.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 592.616027832031250000, 334.302062988281250000, 1.840881347656250000, 29.738891601562500000, 22144.7, 60.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 595.469665527343750000, 337.636474609375000000, 1.878112792968750000, 29.647644042968750000, 22094.6, 66.0, 41520
Rust, NPB_lu_A_1.85.0, -1, 592.935241699218750000, 336.783996582031250000, 1.831176757812500000, 29.563964843750000000, 21929.1, 60.5, 41520
Rust, NPB_lu_A_1.85.0, -1, 595.729797363281250000, 338.424316406250000000, 1.873840332031250000, 29.608947753906250000, 22048.1, 60.8, 41520
Rust, NPB_lu_A_1.85.0, -1, 591.763366699218750000, 332.272766113281250000, 1.800231933593750000, 29.807495117187500000, 22237.7, 66.7, 41520
Rust, NPB_lu_A_1.85.0, -1, 598.458068847656250000, 341.501831054687500000, 1.850280761718750000, 29.775695800781250000, 22015.7, 60.5, 41520
Rust, NPB_lu_A_1.85.0, -1, 593.470825195312500000, 327.488464355468750000, 1.715454101562500000, 31.239379882812500000, 22771.2, 66.5, 41520
Rust, NPB_lu_A_1.85.0, -1, 586.647521972656250000, 326.876647949218750000, 1.719177246093750000, 29.879821777343750000, 22270, 66.2, 41520
Rust, NPB_lu_A_1.85.0, -1, 591.387939453125000000, 333.587646484375000000, 1.791259765625000000, 30.084167480468750000, 22015.3, 66.5, 41520
Rust, NPB_lu_A_1.85.0, -1, 595.298461914062500000, 338.587097167968750000, 1.873291015625000000, 29.697326660156250000, 21914.5, 65.8, 41520
