Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_sp_A_1.90.0, -1, 516.309265136718750000, 290.960998535156250000, 1.980590820312500000, 38.200805664062500000, 18738.4, 66.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 526.473937988281250000, 301.215698242187500000, 2.047180175781250000, 38.174377441406250000, 18733.8, 60.3, 49108
Rust, NPB_sp_A_1.90.0, -1, 524.900512695312500000, 299.172668457031250000, 2.068847656250000000, 38.268005371093750000, 18768.6, 66.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 518.899841308593750000, 290.706237792968750000, 2.111572265625000000, 38.417236328125000000, 18954.7, 66.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 519.571594238281250000, 294.801330566406250000, 2.025878906250000000, 38.040466308593750000, 18628.3, 66.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 520.521545410156250000, 297.417297363281250000, 2.092529296875000000, 37.969299316406250000, 18534, 66.2, 49108
Rust, NPB_sp_A_1.90.0, -1, 523.917114257812500000, 301.477966308593750000, 2.035827636718750000, 37.907409667968750000, 18480.4, 60.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 525.664428710937500000, 303.310180664062500000, 1.959960937500000000, 37.973632812500000000, 18475.7, 60.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 525.029357910156250000, 302.854858398437500000, 2.005737304687500000, 37.882934570312500000, 18459.9, 60.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 521.398071289062500000, 295.224609375000000000, 1.971679687500000000, 38.202575683593750000, 18812, 61.3, 49108
Rust, NPB_sp_A_1.90.0, -1, 524.278015136718750000, 297.146423339843750000, 1.978820800781250000, 38.328125000000000000, 18892.9, 60.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 523.648315429687500000, 293.954223632812500000, 2.026428222656250000, 38.563171386718750000, 19093.3, 61.0, 49108
Rust, NPB_sp_A_1.90.0, -1, 519.077697753906250000, 288.689697265625000000, 2.011047363281250000, 38.659606933593750000, 19152.9, 66.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 516.366149902343750000, 289.889404296875000000, 2.035461425781250000, 38.310607910156250000, 18838.4, 66.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 514.384521484375000000, 287.513061523437500000, 2.009765625000000000, 38.321350097656250000, 18868.3, 66.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 523.196533203125000000, 293.799560546875000000, 2.041076660156250000, 38.562866210937500000, 19064.6, 60.7, 49108
Rust, NPB_sp_A_1.90.0, -1, 524.497375488281250000, 297.912292480468750000, 2.201477050781250000, 38.271728515625000000, 18828.1, 61.0, 49108
Rust, NPB_sp_A_1.90.0, -1, 513.195068359375000000, 283.660156250000000000, 2.104003906250000000, 38.524108886718750000, 19074.7, 65.8, 49108
Rust, NPB_sp_A_1.90.0, -1, 519.328002929687500000, 293.428405761718750000, 2.050537109375000000, 38.243835449218750000, 18783.6, 66.5, 49108
Rust, NPB_sp_A_1.90.0, -1, 525.024230957031250000, 301.136047363281250000, 2.066955566406250000, 38.028137207031250000, 18606.4, 66.7, 49108
