Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_cg_W_1.90.0, -1, 9.528564453125000000, 5.430297851562500000, 0.286987304687500000, 0.470886230468750000, 328.593, 63.2, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.486633300781250000, 5.321472167968750000, 0.286926269531250000, 0.451049804687500000, 334.007, 63.2, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.329467773437500000, 5.454467773437500000, 0.317260742187500000, 0.435058593750000000, 307.031, 63.2, 9660
Rust, NPB_cg_W_1.90.0, -1, 10.555908203125000000, 6.501708984375000000, 0.337646484375000000, 0.495056152343750000, 317.798, 63.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.303161621093750000, 5.480285644531250000, 0.306762695312500000, 0.423339843750000000, 302.907, 63.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.579101562500000000, 5.401672363281250000, 0.282897949218750000, 0.453491210937500000, 337.207, 63.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.540649414062500000, 5.590637207031250000, 0.355712890625000000, 0.433959960937500000, 309.213, 62.8, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.520019531250000000, 5.651000976562500000, 0.300903320312500000, 0.430603027343750000, 304.93, 62.8, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.875061035156250000, 5.812255859375000000, 0.378417968750000000, 0.469909667968750000, 318.292, 62.8, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.592834472656250000, 5.329956054687500000, 0.289978027343750000, 0.459167480468750000, 342.951, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.479919433593750000, 5.549804687500000000, 0.363403320312500000, 0.443908691406250000, 306.59, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.448242187500000000, 5.559082031250000000, 0.344299316406250000, 0.431884765625000000, 305.771, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.355895996093750000, 5.505981445312500000, 0.306152343750000000, 0.429443359375000000, 306.037, 62.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.310302734375000000, 5.480285644531250000, 0.335144042968750000, 0.426452636718750000, 302.039, 62.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.314697265625000000, 5.453063964843750000, 0.322143554687500000, 0.430358886718750000, 306.204, 62.0, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.407531738281250000, 5.480773925781250000, 0.360107421875000000, 0.435058593750000000, 309.298, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.410461425781250000, 5.396545410156250000, 0.266540527343750000, 0.443542480468750000, 324.023, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.490356445312500000, 5.627319335937500000, 0.285400390625000000, 0.436157226562500000, 308.021, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.283081054687500000, 5.418701171875000000, 0.308593750000000000, 0.435241699218750000, 306.29, 62.3, 9660
Rust, NPB_cg_W_1.90.0, -1, 9.351440429687500000, 5.526794433593750000, 0.280029296875000000, 0.436462402343750000, 303.484, 62.3, 9660
