Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_ep_W_1.90.0, -1, 48.539550781250000000, 25.612609863281250000, 0.104797363281250000, 1.577148437500000000, 2006.27, 61.0, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.898803710937500000, 25.896179199218750000, 0.113464355468750000, 1.582092285156250000, 2012.15, 59.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 49.340454101562500000, 26.368164062500000000, 0.104431152343750000, 1.581970214843750000, 2011.35, 60.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 50.222717285156250000, 27.247436523437500000, 0.086120605468750000, 1.588317871093750000, 2006.58, 60.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.512145996093750000, 25.671569824218750000, 0.080139160156250000, 1.562683105468750000, 2002.55, 59.5, 3408
Rust, NPB_ep_W_1.90.0, -1, 49.173828125000000000, 26.259460449218750000, 0.116333007812500000, 1.574279785156250000, 2003.04, 60.0, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.385009765625000000, 25.380615234375000000, 0.107910156250000000, 1.577575683593750000, 2011.88, 60.5, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.663391113281250000, 25.750122070312500000, 0.091064453125000000, 1.569396972656250000, 2005.96, 59.3, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.255859375000000000, 25.376770019531250000, 0.067993164062500000, 1.557861328125000000, 2002, 59.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.717102050781250000, 25.403442382812500000, 0.089599609375000000, 1.598388671875000000, 2036.7, 59.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.645568847656250000, 25.709594726562500000, 0.112365722656250000, 1.577575683593750000, 2005.73, 59.5, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.677734375000000000, 25.803222656250000000, 0.097290039062500000, 1.569519042968750000, 2002.85, 59.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.744628906250000000, 25.884338378906250000, 0.074584960937500000, 1.557495117187500000, 2001.9, 59.8, 3408
Rust, NPB_ep_W_1.90.0, -1, 49.403808593750000000, 26.360412597656250000, 0.116455078125000000, 1.595581054687500000, 2014.48, 59.5, 3408
Rust, NPB_ep_W_1.90.0, -1, 49.296020507812500000, 26.166198730468750000, 0.114868164062500000, 1.603332519531250000, 2016.56, 60.7, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.326782226562500000, 25.482543945312500000, 0.077575683593750000, 1.556945800781250000, 2000.65, 59.5, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.569152832031250000, 25.541687011718750000, 0.105041503906250000, 1.582580566406250000, 2010.99, 59.8, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.849548339843750000, 26.003662109375000000, 0.081848144531250000, 1.559753417968750000, 2000.44, 59.3, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.792663574218750000, 25.915893554687500000, 0.098693847656250000, 1.573669433593750000, 2001.88, 60.0, 3408
Rust, NPB_ep_W_1.90.0, -1, 48.560974121093750000, 25.653198242187500000, 0.098815917968750000, 1.575988769531250000, 2004.62, 59.8, 3408
