Program,Version,Package,Core,GPU,DRAM,Time,Temperature,Memory,Runs
bt,1.85.0,842.32,468.89,1.93,38.45,32197.89,63.36,46508.0,20
bt,1.90.0,840.02,463.4,1.96,38.51,32454.7,64.72,46544.0,20
bt,stable,814.32,448.41,1.98,37.78,31543.29,64.11,46596.0,20
cg,1.85.0,36.16,20.95,0.78,2.2,1232.29,63.35,28160.0,20
cg,1.90.0,38.72,21.71,0.79,2.34,1387.69,65.7,28208.0,20
cg,stable,38.15,21.62,0.78,2.3,1346.72,65.3,28256.0,20
ep,1.85.0,386.67,203.9,0.76,13.31,15964.68,56.6,3396.0,20
ep,1.90.0,393.94,211.03,0.63,13.22,15966.7,63.28,3416.0,20
ep,stable,383.61,200.58,0.63,13.25,15987.54,62.89,3500.0,20
ft,1.85.0,105.45,60.18,0.5,5.33,3840.12,61.32,330104.0,20
ft,1.90.0,107.8,60.95,0.54,5.36,3976.64,65.02,330208.0,20
ft,stable,107.77,61.01,0.54,5.5,3960.08,63.52,330164.0,20
is,1.85.0,28.89,15.95,0.42,1.3,1085.06,62.54,69568.0,20
is,1.90.0,28.79,15.87,0.47,1.3,1077.6,65.36,69424.0,20
is,stable,28.83,15.96,0.48,1.29,1073.4,65.19,69560.0,20
lu,1.85.0,591.96,333.4,1.82,29.81,22130.36,64.54,41520.0,20
lu,1.90.0,584.95,329.47,1.82,29.51,21889.67,64.28,41472.0,20
lu,stable,586.29,327.97,1.82,29.78,22128.98,65.36,41608.0,20
mg,1.85.0,73.18,41.18,0.41,4.22,2703.36,63.1,443908.0,20
mg,1.90.0,72.28,40.07,0.42,4.25,2719.24,64.43,443932.0,20
mg,stable,72.54,40.35,0.42,4.24,2716.37,64.78,443976.0,20
sp,1.85.0,542.8,313.44,2.04,38.74,19004.76,62.46,49124.0,20
sp,1.90.0,521.28,295.21,2.04,38.24,18789.45,63.91,49108.0,20
sp,stable,531.49,303.93,2.03,38.49,18924.06,62.21,49160.0,20
