Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, mandelbrot_1.58.0, -1, 213.974914550781250000, 111.551452636718750000, 0.508544921875000000, 7.007629394531250000, 8953.19, 61.2, 1744
Rust, mandelbrot_1.58.0, -1, 212.544738769531250000, 110.670227050781250000, 0.136352539062500000, 6.841857910156250000, 8943.99, 61.5, 1744
Rust, mandelbrot_1.58.0, -1, 214.571350097656250000, 111.776306152343750000, 0.483398437500000000, 7.027038574218750000, 8968.32, 61.8, 1744
Rust, mandelbrot_1.58.0, -1, 214.466735839843750000, 111.876281738281250000, 0.128662109375000000, 6.941345214843750000, 8984.37, 61.0, 1744
Rust, mandelbrot_1.58.0, -1, 214.489807128906250000, 112.057922363281250000, 0.501953125000000000, 7.027343750000000000, 8957.76, 60.5, 1744
Rust, mandelbrot_1.58.0, -1, 214.291625976562500000, 111.974670410156250000, 0.144470214843750000, 6.885864257812500000, 8985.01, 61.5, 1744
Rust, mandelbrot_1.58.0, -1, 214.017761230468750000, 111.545166015625000000, 0.557983398437500000, 7.026672363281250000, 8955.08, 61.3, 1744
Rust, mandelbrot_1.58.0, -1, 212.727539062500000000, 110.586730957031250000, 0.170837402343750000, 6.858825683593750000, 8941.56, 61.8, 1744
Rust, mandelbrot_1.58.0, -1, 214.226989746093750000, 111.243408203125000000, 0.498962402343750000, 7.032165527343750000, 8984.23, 60.8, 1744
Rust, mandelbrot_1.58.0, -1, 212.080139160156250000, 110.355346679687500000, 0.148559570312500000, 6.834533691406250000, 8931.54, 60.8, 1744
Rust, mandelbrot_1.58.0, -1, 214.893127441406250000, 112.124389648437500000, 0.507751464843750000, 7.075012207031250000, 8986.62, 61.0, 1744
Rust, mandelbrot_1.58.0, -1, 213.038879394531250000, 111.268981933593750000, 0.145507812500000000, 6.843444824218750000, 8935.59, 61.3, 1744
Rust, mandelbrot_1.58.0, -1, 215.520996093750000000, 112.804626464843750000, 0.560058593750000000, 7.042114257812500000, 8954.42, 61.5, 1744
Rust, mandelbrot_1.58.0, -1, 212.502624511718750000, 110.728515625000000000, 0.140930175781250000, 6.840393066406250000, 8934.43, 60.5, 1744
Rust, mandelbrot_1.58.0, -1, 213.565063476562500000, 111.308898925781250000, 0.492431640625000000, 7.005004882812500000, 8942.71, 61.7, 1744
Rust, mandelbrot_1.58.0, -1, 212.570007324218750000, 110.501281738281250000, 0.129394531250000000, 6.869506835937500000, 8962.88, 61.8, 1744
Rust, mandelbrot_1.58.0, -1, 213.609680175781250000, 111.007995605468750000, 0.500915527343750000, 7.015625000000000000, 8972.49, 61.8, 1744
Rust, mandelbrot_1.58.0, -1, 213.083190917968750000, 111.251770019531250000, 0.157531738281250000, 6.856628417968750000, 8940.26, 66.7, 1744
Rust, mandelbrot_1.58.0, -1, 215.515258789062500000, 112.787963867187500000, 0.475708007812500000, 7.040466308593750000, 8986.8, 61.8, 1744
Rust, mandelbrot_1.58.0, -1, 212.319946289062500000, 110.226745605468750000, 0.172119140625000000, 6.878906250000000000, 8963.38, 62.0, 1744
